time	major_opr	minor_opr	process_name	pid	tid	parent_pid	buffer_length	entropy_bit_based	entropy_byte_based	file_name	is_rename	is_delete	file_size	offset
133349234270385290	IRP_MJ_CREATE	OP_NOTHING	\Device\HarddiskVolume3\Windows\System32\sc.exe	1420	5808	10136	0	0	0	\Device\HarddiskVolume3\Windows\System32\en-US\sc.exe.mui	0	0	0	0
133349234270400045	IRP_MJ_CREATE	OP_NOTHING	\Device\HarddiskVolume3\Windows\System32\svchost.exe	2240	2324	844	0	0	0	\Device\HarddiskVolume3\Windows\Prefetch\SC.EXE-6C4D4413.pf	0	0	0	0
133349234270400124	IRP_MJ_QUERY_INFORMATION	OP_NOTHING	\Device\HarddiskVolume3\Windows\System32\svchost.exe	2240	2324	844	0	0	0	\Device\HarddiskVolume3\Windows\Prefetch\SC.EXE-6C4D4413.pf	0	0	0	0
133349234270402891	IRP_MJ_CREATE	OP_NOTHING	\Device\HarddiskVolume3\Windows\System32\svchost.exe	2240	2324	844	0	0	0	\Device\HarddiskVolume3\Windows\Prefetch\SC.EXE-6C4D4413.pf	0	0	0	0
133349234270402934	IRP_MJ_QUERY_INFORMATION	OP_NOTHING	\Device\HarddiskVolume3\Windows\System32\svchost.exe	2240	2324	844	0	0	0	\Device\HarddiskVolume3\Windows\Prefetch\SC.EXE-6C4D4413.pf	0	0	0	0
133349234270404109	IRP_MJ_CREATE	OP_NOTHING	\Device\HarddiskVolume3\Windows\System32\svchost.exe	2240	2324	844	0	0	0	\Device\HarddiskVolume3\Windows\Prefetch\SC.EXE-6C4D4413.pf	0	0	0	0
133349234270404622	IRP_MJ_QUERY_INFORMATION	OP_NOTHING	\Device\HarddiskVolume3\Windows\System32\svchost.exe	2240	2324	844	0	0	0	\Device\HarddiskVolume3\Windows\Prefetch\SC.EXE-6C4D4413.pf	0	0	0	0
133349234270404521	IRP_MJ_WRITE	OP_NOTHING	\Device\HarddiskVolume3\Windows\System32\svchost.exe	2240	2324	844	1728	0.9727984026636066	7.5172417384149135	\Device\HarddiskVolume3\Windows\Prefetch\SC.EXE-6C4D4413.pf	0	0	1728	0
133349234270405207	IRP_MJ_FILE_SYSTEM_CONTROL	OP_NOTHING	\Device\HarddiskVolume3\Windows\System32\SearchIndexer.exe	6124	6464	844	0	0	0	\Device\HarddiskVolume3	0	0	0	0
133349234271251738	IRP_MJ_CREATE	OP_NOTHING	\Device\HarddiskVolume3\Windows\System32\LogonUI.exe	8732	7912	8540	0	0	0	\Device\HarddiskVolume3\Windows\System32\tzres.dll	0	0	0	0
133349234271251873	IRP_MJ_QUERY_INFORMATION	OP_NOTHING	\Device\HarddiskVolume3\Windows\System32\LogonUI.exe	8732	7912	8540	0	0	0	\Device\HarddiskVolume3\Windows\System32\tzres.dll	0	0	0	0
133349234271252487	IRP_MJ_CREATE	OP_NOTHING	\Device\HarddiskVolume3\Windows\System32\LogonUI.exe	8732	7912	8540	0	0	0	\Device\HarddiskVolume3\Windows\System32\tzres.dll	0	0	0	0
133349234271253988	IRP_MJ_CREATE	OP_NOTHING	\Device\HarddiskVolume3\Windows\System32\LogonUI.exe	8732	7912	8540	0	0	0	\Device\HarddiskVolume3\Windows\System32\en-US\tzres.dll.mui	0	0	0	0
133349234271255719	IRP_MJ_CREATE	OP_NOTHING	\Device\HarddiskVolume3\Windows\System32\LogonUI.exe	8732	7912	8540	0	0	0	\Device\HarddiskVolume3\Windows\System32\tzres.dll	0	0	0	0
133349234271255791	IRP_MJ_QUERY_INFORMATION	OP_NOTHING	\Device\HarddiskVolume3\Windows\System32\LogonUI.exe	8732	7912	8540	0	0	0	\Device\HarddiskVolume3\Windows\System32\tzres.dll	0	0	0	0
133349234271256174	IRP_MJ_CREATE	OP_NOTHING	\Device\HarddiskVolume3\Windows\System32\LogonUI.exe	8732	7912	8540	0	0	0	\Device\HarddiskVolume3\Windows\System32\tzres.dll	0	0	0	0
133349234271257013	IRP_MJ_CREATE	OP_NOTHING	\Device\HarddiskVolume3\Windows\System32\LogonUI.exe	8732	7912	8540	0	0	0	\Device\HarddiskVolume3\Windows\System32\en-US\tzres.dll.mui	0	0	0	0
133349234271259401	IRP_MJ_CREATE	OP_NOTHING	\Device\HarddiskVolume3\Windows\System32\LogonUI.exe	8732	7912	8540	0	0	0	\Device\HarddiskVolume3\Windows\System32\tzres.dll	0	0	0	0
133349234271259455	IRP_MJ_QUERY_INFORMATION	OP_NOTHING	\Device\HarddiskVolume3\Windows\System32\LogonUI.exe	8732	7912	8540	0	0	0	\Device\HarddiskVolume3\Windows\System32\tzres.dll	0	0	0	0
133349234271259756	IRP_MJ_CREATE	OP_NOTHING	\Device\HarddiskVolume3\Windows\System32\LogonUI.exe	8732	7912	8540	0	0	0	\Device\HarddiskVolume3\Windows\System32\tzres.dll	0	0	0	0
133349234271260405	IRP_MJ_CREATE	OP_NOTHING	\Device\HarddiskVolume3\Windows\System32\LogonUI.exe	8732	7912	8540	0	0	0	\Device\HarddiskVolume3\Windows\System32\en-US\tzres.dll.mui	0	0	0	0
133349234271261759	IRP_MJ_CREATE	OP_NOTHING	\Device\HarddiskVolume3\Windows\System32\LogonUI.exe	8732	7912	8540	0	0	0	\Device\HarddiskVolume3\Windows\System32\tzres.dll	0	0	0	0
133349234271261818	IRP_MJ_QUERY_INFORMATION	OP_NOTHING	\Device\HarddiskVolume3\Windows\System32\LogonUI.exe	8732	7912	8540	0	0	0	\Device\HarddiskVolume3\Windows\System32\tzres.dll	0	0	0	0
133349234271262129	IRP_MJ_CREATE	OP_NOTHING	\Device\HarddiskVolume3\Windows\System32\LogonUI.exe	8732	7912	8540	0	0	0	\Device\HarddiskVolume3\Windows\System32\tzres.dll	0	0	0	0
133349234271262795	IRP_MJ_CREATE	OP_NOTHING	\Device\HarddiskVolume3\Windows\System32\LogonUI.exe	8732	7912	8540	0	0	0	\Device\HarddiskVolume3\Windows\System32\en-US\tzres.dll.mui	0	0	0	0
133349234271269895	IRP_MJ_CREATE	OP_NOTHING	\Device\HarddiskVolume3\Windows\System32\LogonUI.exe	8732	7912	8540	0	0	0	\Device\HarddiskVolume3\Windows\System32\tzres.dll	0	0	0	0
133349234271269957	IRP_MJ_QUERY_INFORMATION	OP_NOTHING	\Device\HarddiskVolume3\Windows\System32\LogonUI.exe	8732	7912	8540	0	0	0	\Device\HarddiskVolume3\Windows\System32\tzres.dll	0	0	0	0
133349234271270274	IRP_MJ_CREATE	OP_NOTHING	\Device\HarddiskVolume3\Windows\System32\LogonUI.exe	8732	7912	8540	0	0	0	\Device\HarddiskVolume3\Windows\System32\tzres.dll	0	0	0	0
133349234271270967	IRP_MJ_CREATE	OP_NOTHING	\Device\HarddiskVolume3\Windows\System32\LogonUI.exe	8732	7912	8540	0	0	0	\Device\HarddiskVolume3\Windows\System32\en-US\tzres.dll.mui	0	0	0	0
133349234271271850	IRP_MJ_CREATE	OP_NOTHING	\Device\HarddiskVolume3\Windows\System32\LogonUI.exe	8732	7912	8540	0	0	0	\Device\HarddiskVolume3\Windows\System32\tzres.dll	0	0	0	0
133349234271271899	IRP_MJ_QUERY_INFORMATION	OP_NOTHING	\Device\HarddiskVolume3\Windows\System32\LogonUI.exe	8732	7912	8540	0	0	0	\Device\HarddiskVolume3\Windows\System32\tzres.dll	0	0	0	0
133349234271272186	IRP_MJ_CREATE	OP_NOTHING	\Device\HarddiskVolume3\Windows\System32\LogonUI.exe	8732	7912	8540	0	0	0	\Device\HarddiskVolume3\Windows\System32\tzres.dll	0	0	0	0
133349234271272788	IRP_MJ_CREATE	OP_NOTHING	\Device\HarddiskVolume3\Windows\System32\LogonUI.exe	8732	7912	8540	0	0	0	\Device\HarddiskVolume3\Windows\System32\en-US\tzres.dll.mui	0	0	0	0
133349234271274753	IRP_MJ_CREATE	OP_NOTHING	\Device\HarddiskVolume3\Windows\System32\LogonUI.exe	8732	7912	8540	0	0	0	\Device\HarddiskVolume3\Windows\System32\tzres.dll	0	0	0	0
133349234271274806	IRP_MJ_QUERY_INFORMATION	OP_NOTHING	\Device\HarddiskVolume3\Windows\System32\LogonUI.exe	8732	7912	8540	0	0	0	\Device\HarddiskVolume3\Windows\System32\tzres.dll	0	0	0	0
133349234271275104	IRP_MJ_CREATE	OP_NOTHING	\Device\HarddiskVolume3\Windows\System32\LogonUI.exe	8732	7912	8540	0	0	0	\Device\HarddiskVolume3\Windows\System32\tzres.dll	0	0	0	0
133349234271275622	IRP_MJ_CREATE	OP_NOTHING	\Device\HarddiskVolume3\Windows\System32\LogonUI.exe	8732	7912	8540	0	0	0	\Device\HarddiskVolume3\Windows\System32\en-US\tzres.dll.mui	0	0	0	0
133349234271275948	IRP_MJ_CREATE	OP_NOTHING	\Device\HarddiskVolume3\Windows\System32\LogonUI.exe	8732	7912	8540	0	0	0	\Device\HarddiskVolume3\Windows\System32\tzres.dll	0	0	0	0
133349234271275966	IRP_MJ_QUERY_INFORMATION	OP_NOTHING	\Device\HarddiskVolume3\Windows\System32\LogonUI.exe	8732	7912	8540	0	0	0	\Device\HarddiskVolume3\Windows\System32\tzres.dll	0	0	0	0
133349234271276076	IRP_MJ_CREATE	OP_NOTHING	\Device\HarddiskVolume3\Windows\System32\LogonUI.exe	8732	7912	8540	0	0	0	\Device\HarddiskVolume3\Windows\System32\tzres.dll	0	0	0	0
133349234271276303	IRP_MJ_CREATE	OP_NOTHING	\Device\HarddiskVolume3\Windows\System32\LogonUI.exe	8732	7912	8540	0	0	0	\Device\HarddiskVolume3\Windows\System32\en-US\tzres.dll.mui	0	0	0	0
133349234272955187	IRP_MJ_CREATE	OP_NOTHING	\Device\HarddiskVolume3\Windows\System32\svchost.exe	9396	7948	844	0	0	0	\Device\HarddiskVolume3\ProgramData\Package Cache\{9346016b-6620-4841-8ea4-ad91d3ea02b5}\adksetup.exe	0	0	0	0
133349234272955325	IRP_MJ_QUERY_INFORMATION	OP_NOTHING	\Device\HarddiskVolume3\Windows\System32\svchost.exe	9396	7948	844	0	0	0	\Device\HarddiskVolume3\ProgramData\Package Cache\{9346016b-6620-4841-8ea4-ad91d3ea02b5}\adksetup.exe	0	0	0	0
133349234272956036	IRP_MJ_CREATE	OP_NOTHING	\Device\HarddiskVolume3\Windows\System32\svchost.exe	9396	7948	844	0	0	0	\Device\HarddiskVolume3\	0	0	0	0
133349234272956526	IRP_MJ_DIRECTORY_CONTROL	IRP_MJ_CREATE_NAMED_PIPE	\Device\HarddiskVolume3\Windows\System32\svchost.exe	9396	7948	844	0	0	0	\Device\HarddiskVolume3\	0	0	0	0
133349234272957060	IRP_MJ_CREATE	OP_NOTHING	\Device\HarddiskVolume3\Windows\System32\svchost.exe	9396	7948	844	0	0	0	\Device\HarddiskVolume3\ProgramData	0	0	0	0
133349234272957274	IRP_MJ_DIRECTORY_CONTROL	IRP_MJ_CREATE_NAMED_PIPE	\Device\HarddiskVolume3\Windows\System32\svchost.exe	9396	7948	844	0	0	0	\Device\HarddiskVolume3\ProgramData	0	0	0	0
133349234272957751	IRP_MJ_CREATE	OP_NOTHING	\Device\HarddiskVolume3\Windows\System32\svchost.exe	9396	7948	844	0	0	0	\Device\HarddiskVolume3\ProgramData\Package Cache	0	0	0	0
133349234272957979	IRP_MJ_DIRECTORY_CONTROL	IRP_MJ_CREATE_NAMED_PIPE	\Device\HarddiskVolume3\Windows\System32\svchost.exe	9396	7948	844	0	0	0	\Device\HarddiskVolume3\ProgramData\Package Cache	0	0	0	0
133349234272959038	IRP_MJ_CREATE	OP_NOTHING	\Device\HarddiskVolume3\Windows\System32\svchost.exe	9396	7948	844	0	0	0	\Device\HarddiskVolume3\Windows\System32\msiexec.exe	0	0	0	0
133349234272959109	IRP_MJ_QUERY_INFORMATION	OP_NOTHING	\Device\HarddiskVolume3\Windows\System32\svchost.exe	9396	7948	844	0	0	0	\Device\HarddiskVolume3\Windows\System32\msiexec.exe	0	0	0	0
133349234272959549	IRP_MJ_CREATE	OP_NOTHING	\Device\HarddiskVolume3\Windows\System32\svchost.exe	9396	7948	844	0	0	0	\Device\HarddiskVolume3\Windows\System32\msiexec.exe	0	0	0	0
