time	major_opr	minor_opr	process_name	pid	tid	parent_pid	buffer_length	entropy_bit_based	entropy_byte_based	file_name	is_rename	is_delete	file_size	offset
133348556119726952	IRP_MJ_CREATE	OP_NOTHING	\Device\HarddiskVolume3\Windows\System32\sc.exe	6412	732	6632	0	0	0	\Device\HarddiskVolume3\Windows\System32\en-US\sc.exe.mui	0	0	0	0
133348556119741199	IRP_MJ_CREATE	OP_NOTHING	\Device\HarddiskVolume3\Windows\System32\svchost.exe	2124	2332	840	0	0	0	\Device\HarddiskVolume3\Windows\Prefetch\SC.EXE-6C4D4413.pf	0	0	0	0
133348556119741296	IRP_MJ_QUERY_INFORMATION	OP_NOTHING	\Device\HarddiskVolume3\Windows\System32\svchost.exe	2124	2332	840	0	0	0	\Device\HarddiskVolume3\Windows\Prefetch\SC.EXE-6C4D4413.pf	0	0	0	0
133348556119744664	IRP_MJ_CREATE	OP_NOTHING	\Device\HarddiskVolume3\Windows\System32\svchost.exe	2124	2332	840	0	0	0	\Device\HarddiskVolume3\Windows\Prefetch\SC.EXE-6C4D4413.pf	0	0	0	0
133348556119744750	IRP_MJ_QUERY_INFORMATION	OP_NOTHING	\Device\HarddiskVolume3\Windows\System32\svchost.exe	2124	2332	840	0	0	0	\Device\HarddiskVolume3\Windows\Prefetch\SC.EXE-6C4D4413.pf	0	0	0	0
133348556119746233	IRP_MJ_CREATE	OP_NOTHING	\Device\HarddiskVolume3\Windows\System32\svchost.exe	2124	2332	840	0	0	0	\Device\HarddiskVolume3\Windows\Prefetch\SC.EXE-6C4D4413.pf	0	0	0	0
133348556119746377	IRP_MJ_FILE_SYSTEM_CONTROL	OP_NOTHING	\Device\HarddiskVolume3\Windows\System32\SearchIndexer.exe	4800	6464	840	0	0	0	\Device\HarddiskVolume3	0	0	0	0
133348556119746604	IRP_MJ_FILE_SYSTEM_CONTROL	OP_NOTHING	\Device\HarddiskVolume3\Windows\System32\SearchIndexer.exe	4800	6464	840	0	0	0	\Device\HarddiskVolume3	0	0	0	0
133348556119746829	IRP_MJ_QUERY_INFORMATION	OP_NOTHING	\Device\HarddiskVolume3\Windows\System32\svchost.exe	2124	2332	840	0	0	0	\Device\HarddiskVolume3\Windows\Prefetch\SC.EXE-6C4D4413.pf	0	0	0	0
133348556119746690	IRP_MJ_WRITE	OP_NOTHING	\Device\HarddiskVolume3\Windows\System32\svchost.exe	2124	2332	840	1744	0.9742534054040519	7.525725259804859	\Device\HarddiskVolume3\Windows\Prefetch\SC.EXE-6C4D4413.pf	0	0	1744	0
