time	major_opr	minor_opr	process_name	pid	tid	parent_pid	buffer_length	entropy_bit_based	entropy_byte_based	file_name	is_rename	is_delete	file_size	offset
133349321629003886	IRP_MJ_CREATE	OP_NOTHING	\Device\HarddiskVolume3\Windows\System32\sc.exe	9564	6360	7040	0	0	0	\Device\HarddiskVolume3\Windows\System32\en-US\sc.exe.mui	0	0	0	0
133349321629016908	IRP_MJ_CREATE	OP_NOTHING	\Device\HarddiskVolume3\Windows\System32\svchost.exe	2240	2324	844	0	0	0	\Device\HarddiskVolume3\Windows\Prefetch\SC.EXE-6C4D4413.pf	0	0	0	0
133349321629016982	IRP_MJ_QUERY_INFORMATION	OP_NOTHING	\Device\HarddiskVolume3\Windows\System32\svchost.exe	2240	2324	844	0	0	0	\Device\HarddiskVolume3\Windows\Prefetch\SC.EXE-6C4D4413.pf	0	0	0	0
133349321629019574	IRP_MJ_CREATE	OP_NOTHING	\Device\HarddiskVolume3\Windows\System32\svchost.exe	2240	2324	844	0	0	0	\Device\HarddiskVolume3\Windows\Prefetch\SC.EXE-6C4D4413.pf	0	0	0	0
133349321629019633	IRP_MJ_QUERY_INFORMATION	OP_NOTHING	\Device\HarddiskVolume3\Windows\System32\svchost.exe	2240	2324	844	0	0	0	\Device\HarddiskVolume3\Windows\Prefetch\SC.EXE-6C4D4413.pf	0	0	0	0
133349321629020573	IRP_MJ_CREATE	OP_NOTHING	\Device\HarddiskVolume3\Windows\System32\svchost.exe	2240	2324	844	0	0	0	\Device\HarddiskVolume3\Windows\Prefetch\SC.EXE-6C4D4413.pf	0	0	0	0
133349321629021082	IRP_MJ_QUERY_INFORMATION	OP_NOTHING	\Device\HarddiskVolume3\Windows\System32\svchost.exe	2240	2324	844	0	0	0	\Device\HarddiskVolume3\Windows\Prefetch\SC.EXE-6C4D4413.pf	0	0	0	0
133349321629020972	IRP_MJ_WRITE	OP_NOTHING	\Device\HarddiskVolume3\Windows\System32\svchost.exe	2240	2324	844	1733	0.9720535945717791	7.485011876385791	\Device\HarddiskVolume3\Windows\Prefetch\SC.EXE-6C4D4413.pf	0	0	1733	0
133349321629029130	IRP_MJ_CREATE	OP_NOTHING	\Device\HarddiskVolume3\Windows\System32\svchost.exe	2240	2324	844	0	0	0	\Device\HarddiskVolume3\Windows\Prefetch	0	0	0	0
133349321629029948	IRP_MJ_DIRECTORY_CONTROL	IRP_MJ_CREATE_NAMED_PIPE	\Device\HarddiskVolume3\Windows\System32\svchost.exe	2240	2324	844	0	0	0	\Device\HarddiskVolume3\Windows\Prefetch	0	0	0	0
133349321631375784	IRP_MJ_FILE_SYSTEM_CONTROL	OP_NOTHING	\Device\HarddiskVolume3\Windows\System32\SearchIndexer.exe	6124	6464	844	0	0	0	\Device\HarddiskVolume3	0	0	0	0
133349321639037388	IRP_MJ_CREATE	OP_NOTHING	\Device\HarddiskVolume3\Windows\System32\svchost.exe	1592	612	844	0	0	0	\Device\HarddiskVolume3\Windows\System32\drivers\fltMgr.sys	0	0	0	0
133349321639037464	IRP_MJ_QUERY_INFORMATION	OP_NOTHING	\Device\HarddiskVolume3\Windows\System32\svchost.exe	1592	612	844	0	0	0	\Device\HarddiskVolume3\Windows\System32\drivers\fltMgr.sys	0	0	0	0
133349321639037873	IRP_MJ_CREATE	OP_NOTHING	\Device\HarddiskVolume3\Windows\System32\svchost.exe	1592	612	844	0	0	0	\Device\HarddiskVolume3\Windows\System32\drivers\fltMgr.sys	0	0	0	0
133349321639042339	IRP_MJ_QUERY_INFORMATION	OP_NOTHING	\Device\HarddiskVolume3\Windows\System32\svchost.exe	1592	612	844	0	0	0	\Device\HarddiskVolume3\Windows\System32\winevt\Logs\System.evtx	0	0	0	0
133349321639040796	IRP_MJ_READ	OP_NOTHING	\Device\HarddiskVolume3\Windows\System32\svchost.exe	1592	612	844	65536	0.7628735233576117	4.626882375369957	\Device\HarddiskVolume3\Windows\System32\winevt\Logs\System.evtx	0	0	1118208	921600
133349321641392878	IRP_MJ_FILE_SYSTEM_CONTROL	OP_NOTHING	\Device\HarddiskVolume3\Windows\System32\SearchIndexer.exe	6124	6464	844	0	0	0	\Device\HarddiskVolume3	0	0	0	0
133349321641393294	IRP_MJ_FILE_SYSTEM_CONTROL	OP_NOTHING	\Device\HarddiskVolume3\Windows\System32\SearchIndexer.exe	6124	6464	844	0	0	0	\Device\HarddiskVolume3	0	0	0	0
133349321644193611	IRP_MJ_CREATE	OP_NOTHING	\Device\HarddiskVolume3\Windows\System32\svchost.exe	9396	8472	844	0	0	0	\Device\HarddiskVolume3\Windows\System32\devinv.dll	0	0	0	0
133349321644193764	IRP_MJ_QUERY_INFORMATION	OP_NOTHING	\Device\HarddiskVolume3\Windows\System32\svchost.exe	9396	8472	844	0	0	0	\Device\HarddiskVolume3\Windows\System32\devinv.dll	0	0	0	0
133349321644194470	IRP_MJ_CREATE	OP_NOTHING	\Device\HarddiskVolume3\Windows\System32\svchost.exe	9396	8472	844	0	0	0	\Device\HarddiskVolume3\Windows\System32\devinv.dll	0	0	0	0
133349321644207945	IRP_MJ_CREATE	OP_NOTHING	\Device\HarddiskVolume3\Windows\System32\svchost.exe	9396	6924	844	0	0	0	\Device\HarddiskVolume3\Windows\System32\dbghelp.dll	0	0	0	0
133349321644208078	IRP_MJ_QUERY_INFORMATION	OP_NOTHING	\Device\HarddiskVolume3\Windows\System32\svchost.exe	9396	6924	844	0	0	0	\Device\HarddiskVolume3\Windows\System32\dbghelp.dll	0	0	0	0
133349321644208222	IRP_MJ_CREATE	OP_NOTHING	\Device\HarddiskVolume3\Windows\System32\svchost.exe	9396	8472	844	0	0	0	\Device\HarddiskVolume3\Windows\System32\drvstore.dll	0	0	0	0
133349321644208352	IRP_MJ_QUERY_INFORMATION	OP_NOTHING	\Device\HarddiskVolume3\Windows\System32\svchost.exe	9396	8472	844	0	0	0	\Device\HarddiskVolume3\Windows\System32\drvstore.dll	0	0	0	0
133349321644208828	IRP_MJ_CREATE	OP_NOTHING	\Device\HarddiskVolume3\Windows\System32\svchost.exe	9396	6924	844	0	0	0	\Device\HarddiskVolume3\Windows\System32\dbghelp.dll	0	0	0	0
133349321644208913	IRP_MJ_CREATE	OP_NOTHING	\Device\HarddiskVolume3\Windows\System32\svchost.exe	9396	8472	844	0	0	0	\Device\HarddiskVolume3\Windows\System32\drvstore.dll	0	0	0	0
133349321644213610	IRP_MJ_CREATE	OP_NOTHING	\Device\HarddiskVolume3\Windows\System32\svchost.exe	9396	6924	844	0	0	0	\Device\HarddiskVolume3\Windows\System32\devobj.dll	0	0	0	0
